competitor_product_group_id,competitor_product_group_name
00000292,Alstroemeria
00000299,Aster-Focal
00000298,Aster-Spray
00000304,Bells of Ireland
00000306,Bouquets
00000312,Calla lily
00000314,Carnations
00000369,Carnations-Mini
00000320,Combo Box
00000326,Daffodil
00000327,Dahlia
00000329,Delphinium
00000340,Gerbera
00000343,Gladiolus
00000348,Gypsophila
00000351,Hydrangea
00000352,Hypericum
00000353,Iris
00000356,Laceflower
00000357,Larkspur
00000359,Liatris
00000361,Lilies
00000363,Limonium
00000364,Lisianthus
00000375,Mums-Bunched
00000376,Mums-Stem
00000285,Novelty
00000286,Acacia
00000478,Achillea
00000586,Acontium
00000287,Agapanthus
00000288,Ageratum
00000585,Agrostemma
00000289,Alchemilla
00000290,Allium
00000293,Amaranthus
00000294,Amaryllis
00000502,Amaryllis bunch
00000541,Amsonia
00000295,Anemone
00000479,Anise
00000594,Apricot
00000444,Armeria
00000602,Aronia
00000426,Artemisia
00000433,Artichoke
00000474,Asclepias
00000543,Asclepias Pink
00000423,Asclepsia
00000296,Astartea
00000300,Astilbe
00000301,Astrantia
00000458,Atriplex
00000302,Baeckea
00000623,Banksia
00000445,Baptisia
00000493,Basil
00000591,Baxteri
00000434,Bay Leaf
00000460,Bee Balm
00000459,Berry
00000612,Berry Winter
00000484,Berzelia
00000581,Berzilia
00000305,Boronia
00000307,Bouvardia
00000309,Branch
00000435,Brodea
00000467,Broom Corn
00000511,Brunia
00000619,Brussel Sprouts
00000510,Bubble Ruscus
00000466,Buddleia
00000310,Bupleurum
00000311,Calendula
00000503,Callicarpa
00000565,Callistephus
00000313,Campanula
00000454,Canterbury Bells
00000710,Cathedral Vine
00000492,Cattails
00000316,Celosia
00000524,Centaurrea
00000519,Cestrum
00000534,Chasmanthe
00000317,Chelone
00000487,China Berries
00000512,Christmas Bush
00000614,Christmas Carol
00000572,Cineraria
00000571,Clematis
00000597,Columbine
00000318,Colville
00000491,Continus
00000322,Copperbeech
00000599,Coral Bells
00000457,Coreopsis
00000588,Corn Stalk
00000443,corncockle
00000323,Cornflower
00000324,Cosmos
00000587,Cotinus
00000499,Cotoneaster
00000596,Cotton
00000446,Coxcomb
00000577,Crab Apple
00000580,Crabapple
00000325,Craspedia
00000468,Crocosmia
00000628,Cyclamen
00000578,Cyranthus
00000579,Cyrtanthus
00000629,Cytisus
00000328,Daisy
00000560,Daisy Gaillardia
00000424,Daisy Marguerite
00000622,Dames Rocket
00000330,Dianthus
00000455,Dill
00000331,Diosma
00000542,Dock
00000610,Dryandra
00000527,Dutch Book
00000567,Echeveria
00000475,Echinacea
00000462,Echinops
00000573,Egg
00000471,English Lavender
00000334,Eremurus
00000600,Erigeron
00000335,Eriostemon
00000584,Eryngium
00000556,Eucharis
00000564,Eucomis
00000603,Euonymus
00000549,Eupatorium
00000336,Euphorbia
00000658,Fern
00000437,Fever Few
00000666,Flannel Flower
00000338,Forsythia
00000441,Foxglove
00000339,Freesia
00000523,Fritillaria
00000483,Gaillardia
00000477,Gentiana
00000448,Geranium
00000576,Gerrondo
00000665,Geum
00000655,Geum Mango
00000341,Ginestra
00000342,Ginestri
00000657,Globularia
00000470,Gloriosa
00000345,Godetia
00000346,Gomphrenia
00000347,Grass
00000425,Grevillea
00000349,Heather
00000494,Helenium
00000463,Heliopsis
00000653,Helleborus
00000559,Hesperis
00000659,Holly
00000452,Hosta
00000350,Hyacinth
00000506,Ilex
00000354,Ixia
00000504,Japanese Lanterns
00000538,Jasmine
00000486,Joe Pye Weed
00000590,Jubilee Crown
00000660,Kalanchoe
00000529,Kale/Brassic
00000355,Kangaroo Paw
00000550,Kape Green
00000488,Kiwi Vine
00000436,Lamb's Ear
00000428,Lavender
00000604,Lavertera
00000531,Leonotis
00000625,Lepto
00000358,Leptospurnum
00000566,Leucocoryne
00000521,Leycesteria
00000360,Lilac
00000516,Lily
00000362,Lily of the Valley
00000582,Lindera
00000719,Liquid Amber
00000561,Loosestrife
00000613,Lotus Pods
00000427,Lunaria
00000367,Lysimachia
00000540,Marguerite Daisy
00000368,Marigold
00000624,Matsumoto
00000453,Millet
00000517,Mini Gerbera
00000449,Mint
00000337,Misc.Fillers
00000371,Monarda
00000373,Monkshood
00000374,Montbretia
00000377,Muscari
00000711,Mustard
00000520,Myosotis
00000378,Nerine
00000447,Nigella
00000379,Novelties
00000380,Oats
00000485,Okra
00000661,Orchid
00000472,Oregano
00000606,Oriental
00000513,Ornithagalum
00000381,Ornithogalum
00000667,Pagoda
00000382,Palm Buds
00000618,Palm Tree
00000654,Pansy
00000598,Papaver
00000464,Paphiopedilum
00000601,Partygirl
00000627,Passion Vine
00000592,Peach
00000442,Pennycress
00000605,Penstemon
00000481,Pepper
00000384,Pepper Berry
00000607,Peppermint
00000473,Persicaria
00000385,Phlox
00000617,Phormium
00000490,Photina
00000528,Physo-Diablo
00000609,Physostegia
00000386,Physostesia
00000533,Pieris Japonica
00000539,Pimelia
00000476,Pincushion
00000530,Platycodon
00000595,Plum
00000526,Pods
00000456,Poppy
00000430,Poppy Mix
00000469,Prince's Feather
00000482,Privet
00000489,Privettberry
00000593,Prunus
00000495,Pumpkin Tree
00000501,Pyracanthus
00000461,Quinine
00000390,Rice flower
00000608,Rosehip
00000574,Rosehips
00000429,Rosemary
00000395,Rudbekia
00000722,Rumex
00000396,Safflower
00000497,Sage
00000611,Salix
00000397,Salvia
00000505,Sandersonia
00000439,Saponaria
00000438,Saracena
00000662,Sarracenia
00000398,Saxicola
00000399,Scabiosa
00000555,Scholtzia
00000400,Scilla
00000508,Scoparia
00000401,Sedum
00000525,Serruria
00000620,Silene
00000498,Snowberry
00000721,Solomon Seal
00000480,Sorghum
00000616,Sparaxis
00000404,Spirea
00000532,Squill
00000407,Strawflower
00000409,Sweet Pea
00000451,Sweet William
00000630,Swertia
00000615,Symphoricarpos
00000507,Tallowberry
00000465,Tamarix
00000562,Tanacetum
00000410,Tansy
00000411,Thistle
00000621,Thyme
00000509,Toyanberry
00000412,Trachelium
00000500,Tricyrtis
00000440,Tritoma
00000413,Tuberose
00000416,Tweedia
00000626,Verbascum
00000417,Veronica
00000418,Viburnum
00000522,Watsonia
00000496,Weigelia
00000450,Wheat
00000420,Yarrow
00000589,Yearning Desert
00000421,Zinnia
00000383,Peony
00000387,Pom Pons
00000389,Ranunculus
00000570,Roses-Garden
00000394,Roses-Spray
00000392,Roses-Standard
00000422,Roses-Sweetheart
00000403,Snapdragon
00000405,Statice
00000406,Stock
00000408,Sunflower
00000409,Sweet Pea
00000415,Tulips
00000414,Tulips-French
00000419,Waxflower
